"Método","Obtido","Esperado","Diferença (%)"
"Default (i.i.d.)",0.477,0.426,11.972
"Moulton-type",0.003,0.13,-97.692
"Cluster-robust",0.208,0.195,6.667
"CR3 correction",0.103,0.088,17.045
"Pairs bootstrap-se",0.173,0.152,13.816
"Residual bootstrap-se",0,0.047,-100
"Wild bootstrap-se",0,0.012,-100
"Pairs BCA",0,0.161,-100
"BDM bootstrap-t",0.16,0.117,36.752
"Pairs bootstrap-t",0.216,0.081,166.667
"Pairs CR3 bootstrap-t",0.216,0.081,166.667
"Residual bootstrap-t",0,0.034,-100
"Wild bootstrap-t",0.11,0.054,103.704
